k,q,d,u,A,p,e,vpAffine,vp_A_plus_3,row4_residual_fails
10,6,253,71,1700,13,1,0,1,1
10,6,254,78,1700,131,1,0,1,1
10,6,266,82,1780,1783,1,0,1,1
11,7,371,214,2754,919,1,0,1,1
11,7,512,290,3806,13,1,0,1,1
11,7,1329,744,9888,157,1,0,1,1
11,7,1482,832,11024,11027,1,0,1,1
11,7,1516,844,11284,11287,1,0,1,1
11,7,1935,1076,14404,14407,1,0,1,1
11,7,7029,3907,52325,31,1,0,1,1
12,8,298,252,2430,811,1,0,1,1
12,8,438,367,3575,1789,1,0,1,1
12,8,439,376,3575,1789,1,0,1,1
12,8,1333,1118,10879,5441,1,0,1,1
12,8,2695,2255,22000,22003,1,0,1,1
13,8,244,38,2158,2161,1,0,1,1
13,8,398,48,3534,131,1,0,1,1
13,8,399,57,3534,131,1,0,1,1
13,8,711,81,6318,7,2,1,2,1
13,8,1468,173,13039,6521,1,0,1,1
13,8,2201,259,19550,19553,1,0,1,1
13,8,4467,515,39688,2089,1,0,1,1
14,9,354,140,3400,41,1,0,1,1
14,9,355,150,3400,41,1,0,1,1
14,9,453,180,4350,1451,1,0,1,1
14,9,454,190,4350,1451,1,0,1,1
14,9,465,186,4464,1489,1,0,1,1
14,9,655,262,6288,233,1,0,1,1
14,9,924,367,8873,317,1,0,1,1
14,9,1102,438,10582,73,1,0,1,1
14,9,1880,746,18054,463,1,0,1,1
14,9,2811,1111,26999,23,1,0,1,1
15,10,235,167,2418,269,1,0,1,1
15,10,236,166,2430,811,1,0,1,1
15,10,238,170,2448,43,1,0,1,1
15,10,242,163,2499,139,1,0,1,1
15,10,243,174,2499,139,1,0,1,1
15,10,282,192,2910,971,1,0,1,1
15,10,283,203,2910,971,1,0,1,1
15,10,493,341,5082,113,1,0,1,1
15,10,771,527,7954,73,1,0,1,1
15,10,1108,750,11438,673,1,0,1,1
15,10,1766,1187,18239,1303,1,0,1,1
15,10,1767,1198,18239,1303,1,0,1,1
15,10,2915,1966,30099,29,1,0,1,1
