k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
11,229,1700,1,1,1,0,0,0
11,231,1715,0,1,0,0,0,0
11,238,1767,1,1,1,0,0,0
11,259,1924,1,1,1,0,0,0
11,261,1943,1,1,1,0,0,0
11,271,2015,1,1,1,0,0,0
11,272,2024,1,1,1,0,0,0
11,273,2024,1,1,1,0,0,0
11,280,2079,1,1,1,0,0,0
11,281,2090,1,1,1,0,0,0
11,282,2090,1,1,1,0,0,0
11,286,2124,1,1,1,0,0,0
11,289,2145,1,1,1,0,0,0
11,294,2183,1,1,1,0,0,0
11,299,2222,1,1,1,0,0,0
11,319,2375,1,1,1,0,0,0
11,320,2375,1,1,1,0,0,0
11,322,2397,1,1,1,0,0,0
11,323,2397,1,1,1,0,0,0
11,323,2400,0,1,0,0,0,0
11,333,2479,1,1,1,0,0,0
11,363,2700,1,1,1,0,0,0
11,371,2754,1,1,1,1,1,1
11,371,2755,1,1,1,0,0,0
11,376,2793,1,1,1,0,0,0
11,393,2925,1,1,1,0,0,0
11,394,2925,1,1,1,0,0,0
11,400,2975,1,1,1,0,0,0
11,411,3058,1,1,1,0,0,0
11,412,3058,1,1,1,0,0,0
11,447,3321,1,1,1,0,0,0
11,468,3483,1,1,1,0,0,0
11,469,3483,1,1,1,0,0,0
11,473,3519,1,1,1,0,0,0
11,494,3674,0,1,0,0,0,0
11,512,3806,1,1,1,1,1,1
11,524,3894,1,1,1,0,0,0
11,531,3952,1,1,1,0,0,0
11,532,3952,1,1,1,0,0,0
11,551,4095,1,1,1,0,0,0
11,573,4263,1,1,1,0,0,0
11,601,4465,1,1,1,0,0,0
11,624,4641,1,1,1,0,0,0
11,666,4958,1,1,1,0,0,0
11,706,5251,1,1,1,0,0,0
11,722,5375,1,1,1,0,0,0
11,723,5375,1,1,1,0,0,0
11,731,5439,1,1,1,0,0,0
11,741,5512,1,1,1,0,0,0
11,773,5750,1,1,1,0,0,0
11,790,5875,1,1,1,0,0,0
11,811,6031,1,1,1,0,0,0
