# merged; npoints=32363523859 degenerate=7740416 ambig=0
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,none
16,13483575,91038,1239,78,9,0,0,0,0,0,0,0,0,0,0,0,0
17,13466400,126079,1401,81,12,2,0,0,0,0,0,0,0,0,0,0,0
18,13489699,118845,1235,73,13,6,0,0,0,0,0,0,0,0,0,0,0
19,13493295,128957,1617,103,13,3,0,0,0,0,0,0,0,0,0,0,0
20,13493536,141304,1636,105,15,5,0,0,0,0,0,0,0,0,0,0,0
21,13494362,151515,1945,104,19,1,0,0,0,0,0,0,0,0,0,0,0
22,13493734,161948,2347,139,24,4,0,0,0,0,0,0,0,0,0,0,0
23,13475339,189023,2938,182,18,2,0,0,0,0,0,0,0,0,0,0,0
24,13480731,192242,2818,175,19,5,1,0,0,0,0,0,0,0,0,0,0
25,13477568,202395,3548,217,24,6,1,0,0,0,0,0,0,0,0,0,0
26,13455424,231077,4120,254,22,4,0,0,0,0,0,0,0,0,0,0,0
27,13456569,236638,4026,217,32,3,0,0,0,0,0,0,0,0,0,0,0
28,13449041,249401,4786,299,40,2,0,0,0,0,0,0,0,0,0,0,0
29,13442164,261691,5039,285,31,1,1,0,0,0,0,0,0,0,0,0,0
30,13395833,311332,6871,373,45,8,0,0,0,0,0,0,0,0,0,0,0
31,13414692,297921,6333,346,47,11,0,0,0,0,0,0,0,0,0,0,0
32,13408969,307654,6863,377,45,13,0,0,0,0,0,0,0,0,0,0,0
33,13397371,322491,7825,444,53,11,0,0,0,0,0,0,0,0,0,0,0
34,13384722,338795,8147,461,64,13,2,0,0,0,0,0,0,0,0,0,0
35,13301166,423408,10776,529,76,14,1,0,0,0,0,0,0,0,0,0,0
36,13373775,356196,8954,514,56,16,2,0,0,0,0,0,0,0,0,0,0
37,13353421,378852,9883,603,77,15,1,0,0,0,0,0,0,0,0,0,0
38,13345532,388937,10776,667,71,15,5,2,0,0,0,0,0,0,0,0,0
39,13336566,400230,11393,700,81,16,2,0,0,0,0,0,0,0,0,0,0
40,13318560,420107,12333,707,84,15,3,0,0,0,0,0,0,0,0,0,0
41,13292363,446721,14357,911,101,25,3,0,1,1,0,0,0,0,0,0,0
42,13301609,440718,13692,864,101,29,6,1,1,0,0,0,0,0,0,0,0
43,13273794,468556,15945,984,116,27,4,2,2,0,0,0,0,0,0,0,0
44,13276053,468900,15613,992,138,22,3,1,0,0,0,0,0,0,0,0,0
45,13266083,480772,15954,946,129,16,2,0,0,0,0,0,0,0,0,0,0
46,13234457,511871,18403,1094,130,23,0,0,0,0,0,0,0,0,0,0,0
47,13241069,507568,18089,1086,129,20,1,0,0,0,0,0,0,0,0,0,0
48,13219833,529136,19407,1286,161,24,3,1,1,0,0,0,0,0,0,0,0
49,13223330,527128,19785,1250,136,24,2,2,1,0,0,0,0,0,0,0,0
50,13208859,541983,20968,1380,156,26,8,4,1,0,0,0,0,0,0,0,0
51,13194876,556978,21622,1358,164,23,7,3,2,0,0,0,0,0,0,0,0
52,13064606,676093,33541,2084,240,36,10,2,1,0,0,0,0,0,0,0,0
53,13167170,585017,24084,1606,208,31,9,3,2,0,0,0,0,0,0,0,0
54,13155137,597875,24730,1600,194,35,8,2,1,0,0,0,0,0,0,0,0
55,13135349,616567,27113,1702,190,36,12,3,2,0,0,0,0,0,0,0,0
56,13142384,611553,26368,1740,218,31,9,2,1,0,0,0,0,0,0,0,0
57,13118043,634857,28576,1849,222,28,10,0,0,0,0,0,0,0,0,0,0
58,13070774,680185,31339,2200,261,41,8,1,0,0,0,0,0,0,0,0,0
59,13084423,668447,30629,2177,271,36,9,1,0,0,0,0,0,0,0,0,0
60,13083803,670066,30835,2078,289,48,11,2,0,0,0,0,0,0,0,0,0
61,13004290,743705,37357,2506,298,45,14,2,0,0,0,0,0,0,0,0,0
62,13066337,686810,33394,2366,301,42,15,2,0,0,0,0,0,0,0,0,0
63,13071337,683530,32669,2346,326,53,10,2,0,0,0,0,0,0,0,0,0
64,13030077,720970,37286,2516,330,55,10,1,0,0,0,0,0,0,0,0,0
65,13025982,726701,36447,2657,325,55,11,2,0,0,0,0,0,0,0,0,0
66,13017372,733288,39057,2877,403,70,17,3,0,0,0,0,0,0,0,0,0
67,13020520,732501,37706,2798,344,66,18,2,0,0,0,0,0,0,0,0,0
68,12998333,753371,39704,2917,378,70,13,3,0,0,0,0,0,0,0,0,0
69,12991024,759816,41162,3146,375,59,9,2,0,0,0,0,0,0,0,0,0
70,13018090,735227,39524,3054,390,73,8,2,0,0,0,0,0,0,0,0,0
71,12947662,800850,44721,3375,422,61,17,2,0,0,0,0,0,0,0,0,0
72,12956320,793822,43861,3341,399,72,12,2,0,0,0,0,0,0,0,0,0
73,12930551,816607,47267,3571,427,84,20,4,1,0,0,0,0,0,0,0,0
74,12932404,816629,46105,3498,447,92,20,1,0,0,0,0,0,0,0,0,0
75,12905622,840053,49730,3855,471,90,19,3,0,0,0,0,0,0,0,0,0
76,12913385,833515,49129,3872,446,96,20,4,0,0,0,0,0,0,0,0,0
77,12865321,876778,54128,4173,514,112,26,5,0,0,0,0,0,0,0,0,0
78,12894607,850889,51531,3995,491,97,24,7,0,0,0,0,0,0,0,0,0
79,12881604,862730,52992,4286,470,95,20,5,0,0,0,0,0,0,0,0,0
80,12854294,888031,55317,4435,538,96,19,7,1,0,0,0,0,0,0,0,0
81,12868037,875737,54444,4385,518,100,19,5,3,0,0,0,0,0,0,0,0
82,12853588,889172,55901,4450,506,96,23,7,3,0,0,0,0,0,0,0,0
83,12829996,908853,59608,5031,617,98,20,8,4,0,0,0,0,0,0,0,0
84,12808810,929205,61021,4921,597,104,23,7,3,0,0,0,0,0,0,0,0
85,12815079,924075,60168,5028,630,117,25,10,5,0,0,0,0,0,0,0,0
86,12776411,957560,65317,5441,680,123,24,9,5,0,0,0,0,0,0,0,0
87,12780787,954069,64620,5662,679,123,26,8,5,0,0,0,0,0,0,0,0
88,12808004,929939,62211,5437,643,119,21,7,3,0,0,0,0,0,0,0,0
89,12771143,962256,66818,5734,659,124,24,7,3,0,0,0,0,0,0,0,0
90,12764193,969288,67008,5772,718,117,28,9,5,0,0,0,0,0,0,0,0
91,12748303,983196,69012,6107,708,122,27,10,3,0,0,0,0,0,0,0,0
92,12744168,986785,69778,6181,739,142,27,9,3,0,0,0,0,0,0,0,0
93,12730916,998901,71302,6124,734,137,27,9,3,0,0,0,0,0,0,0,0
94,12720682,1006906,73250,6644,827,134,26,8,3,0,0,0,0,0,0,0,0
95,12646261,1074376,80156,6978,811,150,22,7,5,1,1,0,0,0,0,0,0
96,12687099,1036849,77075,7007,828,164,29,8,3,0,0,0,0,0,0,0,0
97,12692328,1033190,75892,6893,837,165,30,7,4,0,0,0,0,0,0,0,0
98,12691257,1033810,76616,6884,829,163,39,9,3,0,0,0,0,0,0,0,0
99,12683791,1040946,77225,6851,830,164,38,9,5,0,0,0,0,0,0,0,0
100,12667125,1053766,80639,7390,963,172,37,8,5,0,0,0,0,0,0,0,0
101,12642468,1075569,83455,7763,901,149,29,4,3,0,0,0,0,0,0,0,0
102,12598212,1110643,91687,8698,1092,191,34,8,3,0,0,0,0,0,0,0,0
103,12641755,1074267,85502,8032,986,174,39,6,4,0,0,0,0,0,0,0,0
104,12609613,1102881,88732,8472,1025,197,45,9,5,0,0,0,0,0,0,0,0
105,12620965,1094789,86200,8013,967,177,38,7,4,0,0,0,0,0,0,0,0
106,12623269,1091995,86556,8240,1065,177,33,5,3,0,0,0,0,0,0,0,0
107,12589723,1121305,90569,8618,1060,196,42,8,3,0,0,0,0,0,0,0,0
108,12581080,1128341,92185,8760,1071,195,42,11,5,1,0,0,0,0,0,0,0
109,12565548,1142396,93624,8963,1079,179,39,8,5,1,0,0,0,0,0,0,0
110,12568558,1138943,94086,8992,1143,208,36,14,4,2,0,0,0,0,0,0,0
111,12537966,1164058,98805,9783,1270,179,39,10,3,1,0,0,0,0,0,0,0
112,12543267,1159702,98096,9655,1268,197,43,11,4,2,0,0,0,0,0,0,0
113,12480849,1213569,105883,10496,1302,205,48,9,3,0,0,0,0,0,0,0,0
114,12535742,1165853,99640,9727,1251,208,51,12,4,0,0,0,0,0,0,0,0
115,12526268,1174107,100456,10136,1337,224,48,12,3,0,0,0,0,0,0,0,0
116,12507242,1188153,104762,10879,1384,218,43,8,2,0,0,0,0,0,0,0,0
117,12515336,1182410,102869,10467,1415,227,39,6,1,0,0,0,0,0,0,0,0
118,12493075,1201798,105782,10552,1358,234,45,7,2,0,0,0,0,0,0,0,0
119,12476929,1215778,107660,10798,1413,267,58,15,4,1,0,0,0,0,0,0,0
120,12435194,1251261,112882,11804,1504,277,60,11,1,0,0,0,0,0,0,0,0
121,12479453,1212756,108083,11023,1405,260,53,14,1,0,0,0,0,0,0,0,0
122,12444220,1242785,112603,11669,1500,268,49,13,1,0,0,0,0,0,0,0,0
123,12453684,1234543,111702,11473,1414,270,49,16,3,0,0,0,0,0,0,0,0
124,12459450,1230997,109842,11090,1505,253,44,16,3,0,0,0,0,0,0,0,0
125,12429104,1252711,117106,12308,1656,271,54,16,5,0,0,0,0,0,0,0,0
126,12429719,1253920,115411,12214,1633,278,58,21,5,0,0,0,0,0,0,0,0
127,12397262,1280664,120755,12638,1606,288,57,14,3,0,0,0,0,0,0,0,0
128,12407255,1271682,119718,12683,1622,270,48,15,2,0,0,0,0,0,0,0,0
129,12401593,1275670,121056,12937,1688,295,49,12,2,0,0,0,0,0,0,0,0
130,12394036,1283129,121155,12923,1681,296,53,15,3,0,0,0,0,0,0,0,0
131,12425435,1254787,118235,12715,1717,328,63,19,3,0,0,0,0,0,0,0,0
132,12374515,1299533,123961,13213,1696,292,54,15,2,0,0,0,0,0,0,0,0
133,12368247,1304327,124860,13642,1781,330,60,17,4,0,0,0,0,0,0,0,0
134,12348676,1320433,128066,13837,1835,325,58,17,1,0,0,0,0,0,0,0,0
135,12354940,1314757,127419,13842,1850,325,58,19,2,0,0,0,0,0,0,0,0
136,12339145,1327074,130252,14288,1989,353,60,17,4,0,0,0,0,0,0,0,0
137,12336874,1328986,130507,14503,1889,324,61,12,2,0,0,0,0,0,0,0,0
138,12301482,1358642,135814,14784,1962,328,68,16,6,0,0,0,0,0,0,0,0
139,12317137,1344141,134347,14976,2024,345,66,14,2,0,0,0,0,0,0,0,0
140,12319564,1342424,133696,14903,1965,368,70,14,5,0,0,0,0,0,0,0,0
141,12284813,1368826,140775,15836,2200,391,76,14,3,0,0,0,0,0,0,0,0
142,12304502,1352630,137635,15490,2115,396,83,16,4,0,0,0,0,0,0,0,0
143,12294922,1361210,138529,15615,2053,387,80,17,3,0,0,0,0,0,0,0,0
144,12273114,1378679,142021,16236,2195,392,77,14,3,0,0,0,0,0,0,0,0
145,12254412,1394425,144687,16388,2238,399,91,21,4,0,0,0,0,0,0,0,0
146,12260878,1388082,144339,16609,2190,380,77,16,4,0,0,0,0,0,0,0,0
147,12248630,1397906,146171,16983,2294,409,73,14,1,0,0,0,0,0,0,0,0
148,12237744,1406719,147861,17223,2338,392,76,17,3,0,0,0,0,0,0,0,0
149,12257566,1391026,144168,16661,2381,398,80,16,1,0,0,0,0,0,0,0,0
150,12227712,1413472,150501,17595,2419,399,75,17,5,0,0,0,0,0,0,0,0
151,12230402,1411857,149437,17441,2430,397,88,18,5,0,0,0,0,0,0,0,0
152,12182444,1448299,159062,18971,2620,437,101,22,4,0,0,0,0,0,0,0,0
153,12211048,1425814,153660,18170,2595,442,94,23,4,0,0,0,0,0,0,0,0
154,12204942,1431532,153963,18228,2515,433,81,18,4,0,0,0,0,0,0,0,0
155,12187090,1445792,157146,18412,2593,454,80,19,4,0,0,0,0,0,0,0,0
156,12161104,1468008,160131,19054,2620,459,79,21,4,0,0,0,0,0,0,0,0
157,12178808,1451674,158639,18990,2673,452,79,25,8,0,0,0,0,0,0,0,0
158,12167355,1459455,161649,19448,2725,456,80,24,8,0,0,0,0,0,0,0,0
159,12142234,1481877,163800,19754,2811,456,85,19,7,0,0,0,0,0,0,0,0
160,12163715,1463372,161052,19437,2794,428,83,22,6,0,0,0,0,0,0,0,0
161,12145671,1477234,164694,19873,2719,455,89,25,7,0,0,0,0,0,0,0,0
162,12141089,1480790,165364,19974,2823,456,80,25,7,0,0,0,0,0,0,0,0
163,12120365,1496157,169568,20839,2912,470,93,23,6,1,0,0,0,0,0,0,0
164,12124201,1492605,168991,20968,2914,478,90,20,3,1,0,0,0,0,0,0,0
165,12110947,1503805,170876,20955,2935,482,87,15,4,2,0,0,0,0,0,0,0
166,12105973,1508357,171207,20924,2875,480,95,18,4,1,0,0,0,0,0,0,0
167,12127075,1488592,169606,20918,2964,496,100,15,3,1,0,0,0,0,0,0,0
168,12086550,1521543,175736,21923,3176,531,107,22,3,2,0,0,0,0,0,0,0
169,12087589,1520218,175688,22053,3184,523,106,20,4,3,0,0,0,0,0,0,0
170,12062705,1539872,179669,23015,3267,551,116,23,3,2,0,0,0,0,0,0,0
171,12084066,1522506,176479,22094,3188,550,112,18,5,4,0,0,0,0,0,0,0
172,12064129,1538533,179645,22588,3257,551,102,24,4,2,0,0,0,0,0,0,0
173,12052921,1548712,180464,22507,3298,570,116,27,4,2,0,0,0,0,0,0,0
174,12027048,1566000,187511,23764,3382,572,119,26,5,3,0,0,0,0,0,0,0
175,12042583,1553271,184945,23330,3364,583,117,22,3,2,0,0,0,0,0,0,0
176,12046368,1551070,183220,23310,3318,580,115,24,5,4,0,0,0,0,0,0,0
