# regions: k[3001,6500]xN[2,1e7] + k[16,6500]xN[1e7+1,3e7]; npoints=145762074292 degenerate=34539342 ambig=20
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,ff17,ff18,none
16,27097399,54880,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,27124985,63416,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,27139971,80235,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,27160770,87720,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,27164808,108944,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,27187488,109014,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,27200844,116224,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,27200103,135583,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,27207535,145146,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,27216357,151911,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27184905,197397,734,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27195076,200483,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,27205989,201872,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,27207533,211645,806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,27208916,220858,816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,27197304,242116,1060,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,27183680,264704,1354,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,27177474,279522,1419,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,27182492,282586,1478,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,26978123,491953,4143,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,27163808,315819,1824,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,27160348,325921,2005,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,27152698,339758,2270,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,27142010,356313,2507,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,27124164,379468,2997,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
