k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
13,226,2001,1,1,1,0,0,0
13,228,2024,1,1,1,0,0,0
13,229,2024,1,1,1,0,0,0
13,234,2079,1,1,1,0,0,0
13,235,2079,1,1,1,0,0,0
13,236,2090,1,1,1,0,0,0
13,243,2159,1,1,1,0,0,0
13,244,2158,1,1,1,1,1,1
13,244,2159,1,1,1,0,0,0
13,246,2184,1,1,1,0,0,0
13,247,2184,1,1,1,0,0,0
13,255,2261,1,1,1,0,0,0
13,257,2279,1,1,1,0,0,0
13,265,2345,1,1,1,0,0,0
13,272,2414,1,1,1,0,0,0
13,288,2552,1,1,1,0,0,0
13,296,2622,1,1,1,0,0,0
13,296,2625,1,1,1,0,0,0
13,311,2755,1,1,1,0,0,0
13,319,2834,1,1,1,0,0,0
13,320,2834,1,1,1,0,0,0
13,321,2849,1,1,1,0,0,0
13,335,2975,1,1,1,0,0,0
13,336,2975,1,1,1,0,0,0
13,341,3024,1,1,1,0,0,0
13,353,3135,1,1,1,0,0,0
13,354,3135,1,1,1,0,0,0
13,364,3233,1,1,1,0,0,0
13,365,3233,1,1,1,0,0,0
13,367,3255,1,1,1,0,0,0
13,395,3509,1,1,1,0,0,0
13,396,3509,1,1,1,0,0,0
13,398,3534,1,1,1,1,1,1
13,398,3535,1,1,1,0,0,0
13,399,3534,1,1,1,1,1,1
13,399,3535,1,1,1,0,0,0
13,400,3552,1,1,1,0,0,0
13,422,3744,1,1,1,0,0,0
13,428,3795,1,1,1,0,0,0
13,442,3926,1,1,1,0,0,0
13,443,3926,1,1,1,0,0,0
13,461,4095,1,1,1,0,0,0
13,462,4095,1,1,1,0,0,0
13,465,4130,1,1,1,0,0,0
13,466,4130,1,1,1,0,0,0
13,472,4186,1,1,1,0,0,0
13,473,4199,1,1,1,0,0,0
13,481,4263,1,1,1,0,0,0
13,493,4374,1,0,0,0,0,0
13,501,4444,1,1,1,0,0,0
