k,N,d,a0_pass,first_fail_pure,P_N15,cap15
244,48502,277,0,16,239,506
245,48502,276,0,16,239,506
246,48502,275,0,16,239,506
247,48502,273,0,16,239,505
247,48502,274,0,16,239,506
248,48502,272,0,16,239,505
248,48502,273,0,16,239,506
249,48502,271,0,16,239,505
249,48502,272,0,16,239,506
250,48502,270,0,16,239,505
250,48502,271,0,16,239,506
251,48502,269,0,16,239,505
251,48502,270,0,16,239,506
252,48502,268,0,16,239,505
253,48502,267,0,16,239,505
254,48502,266,0,16,239,505
255,48502,265,0,16,239,505
256,48502,264,0,16,239,505
257,48502,263,0,16,239,505
258,48502,262,0,16,239,505
259,48502,261,0,16,239,505
260,48502,260,0,16,239,505
245,48503,276,1,15,1427,506
246,48503,275,1,15,1427,506
247,48503,273,1,15,1427,505
247,48503,274,1,15,1427,506
248,48503,272,1,15,1427,505
248,48503,273,1,15,1427,506
249,48503,271,1,15,1427,505
249,48503,272,1,15,1427,506
250,48503,270,1,15,1427,505
250,48503,271,1,15,1427,506
251,48503,269,1,15,1427,505
251,48503,270,1,15,1427,506
252,48503,268,1,15,1427,505
253,48503,267,1,15,1427,505
254,48503,266,1,15,1427,505
255,48503,265,1,15,1427,505
256,48503,264,1,15,1427,505
257,48503,263,1,15,1427,505
258,48503,262,1,15,1427,505
259,48503,261,1,15,1427,505
260,48503,260,1,15,1427,505
246,48504,275,1,14,599,506
247,48504,274,1,14,599,506
248,48504,272,1,14,599,505
248,48504,273,1,14,599,506
249,48504,271,1,14,599,505
249,48504,272,1,14,599,506
250,48504,270,1,14,599,505
250,48504,271,1,14,599,506
251,48504,269,1,14,599,505
251,48504,270,1,14,599,506
252,48504,268,1,14,599,505
253,48504,267,1,14,599,505
254,48504,266,1,14,599,505
255,48504,265,1,14,599,505
256,48504,264,1,14,599,505
257,48504,263,1,14,599,505
258,48504,262,1,14,599,505
259,48504,261,1,14,599,505
260,48504,260,1,14,599,505
247,48505,274,1,13,1213,506
248,48505,272,1,13,1213,505
248,48505,273,1,13,1213,506
249,48505,271,1,13,1213,505
249,48505,272,1,13,1213,506
250,48505,270,1,13,1213,505
250,48505,271,1,13,1213,506
251,48505,269,1,13,1213,505
251,48505,270,1,13,1213,506
252,48505,268,1,13,1213,505
253,48505,267,1,13,1213,505
254,48505,266,1,13,1213,505
255,48505,265,1,13,1213,505
256,48505,264,1,13,1213,505
257,48505,263,1,13,1213,505
258,48505,262,1,13,1213,505
259,48505,261,1,13,1213,505
260,48505,260,1,13,1213,505
248,48506,272,0,12,401,505
248,48506,273,0,12,401,506
249,48506,271,0,12,401,505
249,48506,272,0,12,401,506
250,48506,270,0,12,401,505
